year,W/M^2,OHU,deg C
1970,1.31,-6.84,0.03
1971,1.35,-5.63,-0.09
1972,1.38,-4.77,0.01
1973,1.42,-4.09,0.16
1974,1.45,-3.35,-0.08
1975,1.49,-1.40,-0.02
1976,1.53,-1.45,-0.11
1977,1.57,-1.14,0.17
1978,1.60,0.06,0.06
1979,1.70,0.07,0.16
1980,1.75,-1.18,0.27
1981,1.79,-1.38,0.33
1982,1.82,-1.07,0.13
1983,1.86,-0.97,0.31
1984,1.90,-0.21,0.16
1985,1.94,0.48,0.12
1986,1.98,0.72,0.18
1987,2.03,1.02,0.33
1988,2.09,0.84,0.41
1989,2.13,0.41,0.28
1990,2.16,0.52,0.44
1991,2.20,3.04,0.41
1992,2.22,3.90,0.22
1993,2.24,3.84,0.24
1994,2.27,3.41,0.31
1995,2.30,4.54,0.44
1996,2.34,5.03,0.33
1997,2.36,5.00,0.47
1998,2.40,6.23,0.62
1999,2.44,6.23,0.40
2000,2.47,7.29,0.40
2001,2.49,8.28,0.54
2002,2.53,9.48,0.62
2003,2.57,10.17,0.61
2004,2.60,11.81,0.53
2005,2.63,12.00,0.67
2006,2.66,12.42,0.62
2007,2.69,12.66,0.64
2008,2.73,14.10,0.52
2009,2.75,14.59,0.63
2010,2.79,15.23,0.70
2011,2.82,16.68,0.57
2012,2.86,17.56,0.61
2013,2.90,19.00,0.64
2014,2.94,20.00,0.73
2015,2.97,21.07,0.86
2016,3.03,21.94,0.99
2017,3.06,22.81,0.90
2018,3.10,23.68,0.95
2019,3.13,24.55,0.98
2020,3.16,25.42,1.00
